First Name|Last Name|Age|Sex
CHRISTINA|BOYETTE|28|M
VIOLA|HOMAN|47|both
ADRIAN| TOLLIVER|55|Girl
mollie|vital|12|m
 ETHEL|GRAY|62|Man
ROBERT| GARNER|13|F
 mickey|mckinney|66|m
 reuben|white|61|f
rufus|james|57|Male
DAVID| MCDONALD|20|Girl
ANGELA |NEWKIRK|67|LGBT
JOHN| ROSS|78|FM
 joseph|evitt|44|M
DONALD| BOUCHARD|11|f
 june|gaines|56|Man
 ELLA|MAYFIELD|43|F
georgia |dungey|66|m
TAMMY| PUCCI|63|both
DEBORAH|MCDONALD |66|FM
EDWARD| YOUNG|18|Girl
NANETTE|LIPPS |32|Male
tina|miller |27|F
christy|moore |68|LGBT
DOUGLAS |LEVINE|34|both
francis| valentine|23|LGBT
stephanie|thielen |5|Female
maria| tirado|60|Male
james|rutherford|46|Girl
terri|gutierrez |61|FM
deborah|barker |10|M
martha|singletary|48|LGBT
 PATRICIA|PRICE|58|LGBT
laura| beach|89|FM
juanita |see|57|m
rodney| schaefer|47|Male
DAVID|WALKER|174|LGBT
 HARRISON|JACKSON|50|MF
jon |hoppe|51|LGBT
MARK|REVELES |23|-
GARY |RICHARDS|37|LGBT
thomas |espinoza|16|both
douglas| givens|41|m
ora| halsema|61|FM
barry|worth|55|Girl
PEDRO| SHEPPARD|64|m
grace |fair|17|Male
LEONARD| ALMANZA|178|both
tonia| hodges|56|-
MICHAEL |TYLMAN|50|both
constance| green|6|M
 LYDIA|GROTH|56|-
 ROSE|BATTLES|9|Female
clara|xiong|69|Girl
JODIE |JAMES|48|f
rolando| madrid|27|Male
tobi|benton|28|both
joshua| girdler|5|LGBT
SHELBY|BURKE |197|f
 DESIREE|TEASLEY|34|both
 PETER|DAVENPORT|62|Male
RAYMOND|VAUGHN|43|LGBT
 GERALD|AVEADO|51|M
lawrence| reynolds|63|Male
ALBERTO|LEON|46|Man
cathy|mackenzie|99|FM
stewart| fulcher|43|M
 DWAYNE|SEARS|18|Male
JIMMY |GALINDO|19|FM
JUSTINE| MCGINNIS|49|both
 CHRISTINA|TROUPE|57|Female
CHARISSE| TAUSCHER|51|M
jose| burkett|44|F
matt |hill|46|LGBT
jason |connel|44|both
frances| dudley|35|m
robbin|kuebler |41|LGBT
ozell |fowler|69|Man
todd|arana |161|MF
JOE|GRAY|63|LGBT
SUSAN| WILLIAMS|103|f
jeffrey|sanchez |50|Man
karen |kenyon|61|M
 TONY|MUSIGDILOK|58|f
JENNIFER|LOHR |65|f
 violet|schulz|121|Female
AMY| CAMEL|47|-
linda| stevens|115|m
JOSHUA|ROUSSEAU |44|both
 BLANCA|HARRIS|63|both
EDWIN|SAMMONS |13|F
christine| haas|65|FM
TINA|RICHMOND|36|Male
 patricia|carlson|187|LGBT
 edwin|paxson|2|both
 KATHLEEN|NASH|54|both
richard| sanchez|8|LGBT
KEITH| SHAFFER|54|M
ERIC |WARD|29|f
 CHARLES|ANGELILLI|47|MF
 MICHAEL|MEDINA|35|m
marion|romanowski |70|f
beatriz| lipford|55|both
joey|harris |20|f
 ELIZABETH|WEISGERBER|66|m
vanessa |martin|62|m
phyllis|reed|35|m
 CARLOS|MICHAEL|56|M
zachary| pollard|5|f
DANIEL| SOUTHWORTH|94|m
DAVID|HENSLEY|35|both
RICHARD|HYDEN|69|Male
harold|paige |44|Male
MARK |ROLLINS|46|Man
LEAH|MCMICHAEL |42|-
 DAVID|MATHEWS|22|Male
 JEFFREY|CAPPS|44|LGBT
 ANN|BACOT|39|Male
BRENT |ROWE|130|LGBT
brenda|gomez|57|Girl
bertha|morris |39|m
 MYRON|KENNY|70|M
jesse|burch |51|m
gary|sumney|41|FM
 doris|nelson|26|LGBT
joanne|griffith |42|F
paul|farnsworth |176|m
 mary|blake|60|both
noe|guerrero|37|F
frank| derossett|25|-
ALEX |NERY|33|LGBT
GLENN| COBOS|40|Female
ALEJANDRO|HODGES |81|m
 richard|maack|29|Girl
brian|campbell|43|M
linda|dull|62|-
ROSE |MUSTARD|70|F
terrell |oneill|37|MF
frank|honore |130|m
maudie|benitez |69|f
beverly| myers|52|LGBT
LINDA| MILLER|197|f
SUE|STEVENS |41|MF
sean |edmonds|62|LGBT
ada|powell |54|both
 GLORIA|LYNCH|49|Female
 JANET|DAY|38|M
MARK|SIMPSON|13|MF
jose| nabors|63|f
BRETT |KESSELMAN|34|M
 RICK|ZECCA|54|F
ruben|watkins|12|M
 carmen|holden|46|F
carol| leavins|7|MF
johnnie|ferrell|192|Male
peter|johnson |33|MF
 nancy|soares|6|m
benjamin|roden |69|M
stephen|dieball|35|Girl
viola |wein|24|Male
KENNETH |TETREAULT|5|M
BECKY| TAYLOR|37|MF
paul|reeder|64|both
kimberly|salinas |42|F
 nanette|barrett|154|m
janice| wade|28|F
 billy|bair|20|m
delores |serrata|16|M
dawn |mohmed|12|both
james |morgan|34|both
GEORGE| FEURTADO|15|-
