First Name|Last Name|Age|Sex
franklin |ward|8|F
edna|ozment|35|LGBT
nicholas |lange|33|both
 JUSTIN|EDWARDS|26|Male
esther|blair |19|-
BRIAN|STRATON |25|f
CHAD| COLLINS|54|-
 ENOLA|WITTSTOCK|46|FM
ADAM| WALLACE|68|LGBT
ELTON|ROACH |19|FM
CHRISTINE|CANTRELL |39|f
 KIMBERLY|BATTE|23|f
ROBERT|BANDERAS |37|both
JOHN|JOHNSON|62|m
DARREN|FATA |19|F
jason |osborne|65|LGBT
BRIAN|PIPPENGER |33|LGBT
 laurie|hargrove|69|m
william| cheesman|181|f
 JOHN|SMITH|13|both
keith |borkowski|151|FM
stella|geer|43|-
LISA|HODGES |59|MF
 NICK|SILVERA|54|MF
JANE |KALLIN|44|f
marcia|negron|53|f
TRACY|AMBROSE|57|m
MARY|PETER|69|M
LAURIE|RESENDEZ |198|both
TRENTON |BROWN|182|m
joyce |ware|28|-
NICHOLAS |FIGUEROA|50|LGBT
richard|mcintosh|70|M
SETH |GLOVER|19|f
thomas|morrison |106|Man
ANN |BREAUX|33|both
 brenda|hilton|50|M
kevin| bushee|55|-
dovie|stout|27|f
DOROTHY| BAKER|66|m
 GREGORY|MOSES|59|both
SAMANTHA|COTMAN |61|Man
robert| kissler|20|m
 HELLEN|MANGRAM|96|M
 FRANCES|WINESETT|56|FM
bryant| thorne|2|-
tiffany|stump|30|Female
LYNDA|CASTRELLON|53|MF
stephen |king|24|m
LESLIE|HANSON|70|FM
GARRY| CORUM|193|FM
john|thompson |19|f
JOHN|HAMM |20|FM
diana |palmer|61|m
peter| rubin|27|M
marcel|tittle |23|both
EDDIE |ABERNETHY|59|both
EDUARDO| PRZEDWIECKI|39|F
PAUL|HOUCHINS|3|f
norma|davis|24|Male
elizabeth|jones|36|Female
KRISTINA|CARSON |65|FM
DAVID |LARSEN|38|both
MELISSA|SIMMONS|55|Female
SUSAN |STAUB|38|M
MARGARET |VASQUEZ|48|Female
SHARON| BRAYBOY|40|FM
tessa |mercurio|37|m
anita |peden|25|Girl
LOIS|PETTIFORD |55|MF
THOMAS |CONN|33|-
darrell|christner |3|f
harold|banta |69|both
JOHNATHAN |VALDEZ|28|M
heidi|palms|29|FM
roger|hallaway |22|M
MILDRED|BRIGHT|5|Male
wendy|stewart|44|Male
BENJAMIN|DARLING |67|f
angelica |king|32|both
barbara| hale|20|LGBT
 stephanie|longnecker|40|Girl
MICHAEL|JAMISON|68|M
 MAXINE|MURPHY|16|-
MELISSA|LOWE |110|F
JAMES|TRAINOR|65|m
JAMES| JONES|66|FM
ANNA |HAMBURGER|61|FM
monique|stapleton|37|Female
brad|alexader |124|M
WILLIAM|THOMAS|34|f
GARY| CARTER|40|Girl
jeffrey |magallanes|197|LGBT
 richard|maxey|26|LGBT
carolyn| powers|58|M
pearl|alpers |51|Man
BONNIE|HENIG |29|F
 audrey|rowe|39|-
MARY |ROCHE|10|m
 peter|barnhill|191|both
JASON|SEGUIN |67|both
 JOSEPH|GRIFFIN|4|-
 JACK|MERRY|26|m
margo| scallon|60|both
HELEN| MAEZ|28|F
debra|lopez |17|F
agnes |york|48|Male
betty|bergesen |27|M
 JAMES|SHIREY|30|M
fallon|johnson|51|Male
MERCEDES|REIGSTAD |58|Female
bonnie|newberry |20|F
brenda|carter |21|LGBT
JODI|EDER|4|LGBT
robert |derck|51|Female
george |hayden|33|both
 DOLORES|HARRIS|32|both
lisa| huth|34|M
jeremy |hagerty|58|MF
WILLIAM| SALAZAR|27|m
alejandra|moody |65|both
 richard|dupre|2|F
VINCENT| PETERSEN|22|m
CAROLYN|WILSON |67|M
SANDRA |IGBINOSUN|21|f
CLAIRE|ELDER |17|Girl
 trey|dube|32|m
CHARLOTTE|GANDY |67|M
 donald|scholes|62|F
JASON|EARLS|67|F
ADAM|ARIAS |150|f
 JACK|FIFER|127|Girl
 christopher|moore|5|-
 CHARLES|FAITH|48|Man
 maudie|rafferty|33|MF
 buddy|hall|21|Male
 george|white|69|Man
gregory |peterman|50|M
DOLORES |VILLANUEVA|66|-
JACQUES |HURST|186|both
MARTIN |GILBERT|34|Man
 jackie|wingate|24|LGBT
 eileen|hernandez|39|Female
eddie| kroll|54|M
 douglas|bowen|10|Girl
PHYLLIS| JUSTUS|21|f
COURTNEY| MERCIER|23|Female
DAWN| LUNDQUIST|22|M
 ernest|plienis|30|FM
AMANDA|PATE |28|M
carl|coria |56|LGBT
jeff| knight|120|-
annie|garvey |48|f
 walter|delarosa|53|both
JESSE |WOLF|56|m
james|fuchs |105|m
ELVIS|COLBETH |41|LGBT
 SIMON|FRALEY|47|LGBT
beverly |jones|36|m
grace| martin|65|LGBT
robert |milliren|185|Male
mitchell |crespino|4|f
mary|johnson |18|M
 HASSAN|JENNINGS|43|FM
 marion|hricko|2|Female
stephen|bolden|57|f
coletta |kane|63|m
 christopher|ali|30|-
lisa|susanin|18|Female
 MIRIAM|BOWYER|9|MF
WILLIAM|CEARNS |44|-
EARTHA|BARKLEY|98|F
frances |boylan|68|F
becky| decosta|43|both
sheryl |mohan|26|M
pearl|sneed|25|M
russell| kagan|2|Female
VINCENT|SUTTON|26|Female
john |pridgen|42|F
anna|aldridge|21|Female
chasity|dickens |139|Female
ARLENE| BEACH|40|-
BERTHA |GOOD|11|-
sharyn| madruga|55|-
sarah |mcmullen|54|M
JOHN|ARNOLD|8|MF
EDWARD |SANTOS|50|M
JEFF|HASTINGS |69|F
 CAROL|ROBERTSON|8|both
ellen |baker|87|Girl
tanesha| weddle|39|LGBT
 kimberly|leal|20|Male
TONYA |SHANNON|52|m
kathryn| harwood|43|M
CHRISTOPHER| HAWKINS|6|Female
mildred|gebauer|61|Man
samantha| cochrane|61|FM
SETH|FELDMAN|3|FM
 CHONG|KNAPP|81|MF
JASON|PADILLA|176|both
 VELMA|STEVENS|23|F
darryl| harding|62|m
 KATHLEEN|LAWSON|34|Male
DEBORAH |WHITEHEAD|11|-
 michelle|chamberlin|26|Male
ALBERTA|ARREY |82|M
 sam|simpson|34|f
CHARLOTTE |DESAI|87|Female
 ANN|MARTIN|66|m
nina |harris|42|F
walter |crocker|115|both
MARIAN |ROUNTREE|46|Man
MATHEW|LUNDHOLM|67|MF
 willie|jacobson|46|FM
 beverly|fletcher|65|Male
NATALIE |SELLERS|64|Female
JASON| MOORE|52|F
MARIE|WANGLER|156|Female
 john|jensen|68|M
thomas |stafford|38|m
martin |weatherly|51|M
 BRENT|HARVEY|41|f
 LESTER|BROOKS|57|F
JO |PRESTON|61|both
ANTONIO| ROSS|64|Female
 CLARK|ULLMAN|28|LGBT
 kevin|franck|36|-
EMANUEL|DORA |30|F
