First Name|Last Name|Age|Sex
JAMES|BECK |55|LGBT
ROBERT |RUDOLPH|68|MF
hugh|kerwood|56|M
WALTER |REINKING|63|m
LARRY|THOMPSON |21|F
WILLIAM|GROOMS |36|f
 charles|hadsall|24|Female
MARGARET|SCHROYER |46|FM
STERLING |CALLENDER|164|-
LINDA| SYKES|18|LGBT
verna|oehler |96|Man
TERRY|MCCORMICK |41|Male
bridget|hardeman|41|MF
audrey|fritz |67|f
LANDON| CASTELLANO|27|F
 KYLE|GRAY|133|M
richard| gazitano|55|LGBT
lisa |maisonave|54|F
 hilda|manzano|75|both
GARY|BEDFORD|23|-
HENRY |RIVENBURG|59|Female
james|walker |59|M
 joseph|tharrington|21|LGBT
christopher| cross|42|m
misty|ramirez|63|Female
 DARLENE|ROUSE|57|M
robert|marciano |31|LGBT
alvaro|bruno|65|Male
MARK |RODRIGUEZ|5|FM
john|justice|54|MF
ZOE|FOSTER |27|Female
ELIZABETH|GIVENS|57|M
elizabeth|ellsworth |16|-
PHYLLIS |CAMPER|50|Man
francisco|langley |59|MF
noe|smith |34|FM
CINDY|HEIMSNESS|57|FM
JOSE|SEVILLA |17|both
nathaniel |tedder|97|LGBT
peter| montague|27|Male
 DENNIS|JAMES|60|-
DOROTHY| HARPER|62|m
LAWRENCE |ESTERLY|41|LGBT
JENNIFER|WAY |195|f
james| taylor|59|-
 MICHAEL|DURST|90|FM
stephanie |burnette|18|M
JASON |WATSON|42|LGBT
 DONALD|HEATH|153|f
 ERIC|DEAL|62|Female
ROY|SISK |31|f
JOHN|TUCKER|23|F
 emilia|cairns|82|LGBT
michele|prattis |55|Female
 alice|grant|20|F
cheryl| brown|59|-
mark| rossano|48|FM
meghan|fulgham|23|Girl
TANYA |COOPER|54|Male
BESSIE|MONDAY|68|F
john| wheatley|78|F
linda|chapman|20|f
MELISA|GAZZO|64|both
DALE |THOMPSON|65|m
julia|guest|26|LGBT
KARINA| LARUE|70|F
allison| reynolds|62|f
GUSSIE|CURRY |38|F
walter|varley |156|both
MICHEAL|MILTON|70|-
JESSE| EAKINS|53|F
SALLIE|LOTTI |57|M
virginia|sheppard |178|f
janet| delaurentis|47|Male
BECKY|WALLS|10|M
herbert|brown |46|FM
AILEEN| BROWN|145|both
HANS|BRUCH |158|Female
iris|harris |37|Male
SHIRLEY| MCDANIEL|2|Man
jimmie |wilson|52|FM
 LACI|FOWLER|57|both
JOYCE |MOORE|57|-
miranda| carter|21|-
michael| isenhart|58|Girl
brenda|vadenais|62|both
juanita |garcia|43|MF
JEROME |MORALES|37|MF
JOEL|SLOSEK |32|m
LILLIAN |HORNE|61|m
WILMA| MULLINS|68|m
LAMONT|FOSTER |36|Girl
dottie |neang|16|f
 EVANGELINE|NIKAS|62|m
claude |leatherman|11|M
larry|hawks |49|M
 THOMAS|ADAMS|58|m
BILLY |BRADFORD|134|m
charles |harvey|20|m
 GARY|FIELDS|68|-
 CATHERINE|WASHINGTON|55|f
JEREMY |POSEY|48|m
larry|michaux |106|Female
william|bloxham|47|MF
 heather|thompson|42|F
gertie|gallagher|52|M
marisa| fletcher|21|LGBT
sandra |cook|24|both
JAMES| JOHANSEN|49|f
brenda|caouette |36|MF
 ERIC|PITMAN|34|-
RICHARD|FLECKENSTEIN |62|Male
diane|korbal |39|F
guadalupe |buckner|33|M
CASSANDRA |CHRISTENSON|22|LGBT
ADRIANNA |WILKINS|25|-
ROBERT|REMBERT |175|M
luz |waters|34|m
 RICHARD|SIMMONS|21|-
JOHN| OUELLETTE|100|M
JOHN|WILLIAMS |56|Male
JOHN|DIBBLES|117|Girl
BARBARA|LAW |67|both
 JORGE|WRUBEL|25|Female
myron|butz|94|M
joyce |fairrow|34|both
STEPHANIE |SHIREMAN|43|FM
CHERYL |MARTINSON|80|Man
yolanda |lindsay|66|Male
lindsey| holland|76|Female
shelly| stewart|64|m
alice| gipson|36|f
jimmy| hodge|3|both
RENEE |GONZALES|48|m
DIANNA|SUTTLES|162|LGBT
CHRISTOPHER| HARRISON|63|FM
SHERRY |LOGAN|18|Female
ELIZABETH|KELLER |27|-
mark| wilhelm|31|m
 JAMES|TURNER|28|M
MARGARET| GOODWIN|28|Girl
eula|carson |50|Female
MARIA| BROWN|49|M
george|stephens |112|MF
 CALVIN|KUKER|58|LGBT
KATHERINE |WILSON|68|Female
 JESSICA|DODD|28|LGBT
EVERETT |SMITH|160|both
greg|schlegel|51|F
 freddie|jones|34|F
dionne|dowker |14|both
BYRON|BROOKS |62|MF
charles |catalan|63|both
MIGUEL|WALKER|27|both
martin| politi|7|f
KATHLEEN| RAMIREZ|69|both
GUY|LINDSAY|58|F
 brooke|howard|57|both
LAURA| HYATT|32|-
OLLIE|MCBROOM |6|M
 betty|carter|63|m
cheryl |jefferson|174|Male
jessica| roiger|39|MF
kyle|mendias |68|Female
RENEE |STORY|38|MF
paul|keller|27|FM
ROBERTO |BELLENDIR|34|both
rose|bain |67|LGBT
MICHELLE|SULLIVAN |48|M
KENNETH |MARTINEZ|27|Female
 WELDON|PALMER|7|-
BRADY| WILLIAMS|178|f
BRIAN|JONES |60|F
JAMES |BURGESS|43|M
PRICILLA|BOWMAN|57|Female
HOLLY |PEREZ|44|LGBT
RON|BROWN |25|m
BRITTANY|JOHNSON|134|M
jack |silva|159|both
 daniel|witter|41|MF
noel| martinez|40|Female
mark| potter|39|F
 tanika|dailey|145|LGBT
 CAROL|WALTERS|36|f
BARBARA|GILL|69|Male
PAUL|CHAISSON|195|F
raymond|duet |69|both
rachel|black |33|-
JENNIFER| MCCREA|57|M
GERALD|GENTRY |55|M
DOUGLAS| SNYDER|55|Female
BERNICE| CROWE|50|Male
 LUCINDA|MARSHALL|28|-
DANNIE |SOLINSKI|51|Girl
dwayne|little|30|LGBT
thelma|flores |35|LGBT
oscar|wilson |26|F
TONYA|BEHN|43|m
RICHARD| THOMPSON|28|-
ROBERT|JONES |83|both
LEOPOLDO| PONTIUS|157|LGBT
steve| kennett|26|Male
charles|james|23|both
DAVIS |WINTERS|68|Female
 michael|portillo|100|Female
 RON|PETRONELLA|34|-
TODD|TAYLOR|45|Female
 david|cambron|62|LGBT
BRIAN |MUCHER|11|FM
rebeca|harris |15|MF
KARIN|HANNAH |43|Male
FRANK|MAXHAM |103|both
michelle|monger |65|LGBT
 BRANDON|GLOVER|59|both
reta|hall |12|Male
corey|castro |62|LGBT
laura| rogan|66|-
 MICHAEL|LANOSGA|167|MF
THERESA| VOIGHT|22|Girl
albert|harris |52|f
eddie| king|85|-
arnulfo| bloom|83|m
 PAMELA|KINCADE|67|f
 robert|caldwell|62|both
marcus|rood |42|Male
 BEN|THORNHILL|30|m
hana|stegmann |63|Female
ronald|ventura |199|Female
dana|schultz |16|LGBT
EDWARD|CAMACHO|63|F
MARJORIE| HAUER|199|both
kelly|thomason|35|-
GLENDA|WAAGE|55|F
AMY |MOORE|34|F
david|flowers |43|Female
BRADLEY|SHEARIN |24|FM
karen |fuller|68|f
ADAM|ROUZER|67|LGBT
MARY|HENDRIX |62|LGBT
JEAN|SPECK |56|m
winona |taylor|44|both
 kisha|vannatta|20|Male
 colleen|noble|29|Male
 lorraine|hardinger|36|M
jose| ma|18|F
chad| marshall|49|both
douglas|frizell |40|LGBT
 FRANCISCO|SMITH|39|MF
 MARY|ZAPPALA|59|-
 john|smith|128|both
willie|bradley|10|Male
HOLLIS |WILSON|31|MF
REBECCA|FITZGERALD |23|both
tracey| kirk|102|M
 alma|atkinson|27|LGBT
clarence|alanis|83|f
crystal|irvin|37|-
IRENE|WISE|71|Female
MAI|OBRIEN |7|-
 KIM|BARR|9|F
 jennifer|flood|31|Female
david|hill |33|M
NICHOLAS|HARPER |83|LGBT
SUSAN| RIEDERER|53|M
GERTRUDE| ENG|70|LGBT
 kevin|lopez|39|M
BRUCE|BAILLY|58|Female
james|davis |58|m
robbie| rowell|53|-
ross|bromley |62|both
 CHRIS|HAYNIE|49|m
timothy|edwards|69|F
 michael|johnson|7|LGBT
robyn |mckinney|44|Man
frank| paul|46|Male
VIRGINIA|KUROHARA|35|-
JUSTIN |WILSON|66|MF
gary| stanford|21|Girl
PATRICK|MORRIS |67|f
meredith|hollis |42|both
KORI|MURDOCK |49|LGBT
melinda|garay|61|both
charlotte| mcmillian|25|M
 sandra|calfee|186|Male
elizabeth |zahri|177|M
rex|bergan|62|F
IRENE|PERRY |64|m
billy |grant|62|m
SHELLY |EDMONDSON|30|m
james|jordan|56|Female
MARY|UPSHAW |29|M
dorothy|clark |27|m
VICTOR |ROSS|62|f
michelle |scott|32|both
CRAIG |CREECH|64|Girl
gabriel|tolley |20|M
 william|green|42|Male
susan|argueta|30|FM
 benjamin|marshall|69|Girl
KEVIN| MORRISON|32|Female
jerry|little |44|M
 MARY|GAJEWSKI|40|LGBT
WILLIAM| MAY|29|Girl
 LISSETTE|HENLEY|54|LGBT
donna|derenzo|42|m
sarah| napier|36|MF
ALEXIS| MIMS|52|LGBT
 MATHEW|STOGLIN|51|LGBT
shane| cook|27|f
 carl|bryant|24|f
LISA|AMBRES|54|F
dixie|alley |27|m
lyle| wood|64|MF
catrina|tripp |31|m
roy |davis|2|-
paul |seidman|41|m
RANDI|CAFFEE|69|-
 enid|amador|29|Man
JIMMY|FERGUSON|42|Girl
 donna|reilly|53|MF
jason| malloy|37|m
anne |lamont|43|m
JEFFREY|MORRIS|61|Girl
ROXANA|JACKSON |93|both
 thomas|perkins|19|LGBT
DIANA|SHELTON |45|f
YVETTE |BANKS|59|both
 julie|johnson|28|f
CHERYL |YANG|57|F
DEBORAH |GARCIA|20|M
aaron|enciso|10|F
 KEVIN|FRIEDMAN|50|both
maria|leach|70|Female
 richard|griffin|63|m
 AMANDA|HAYES|23|-
nadine |fuller|133|MF
ROBERT|HEAPS |33|m
MIKE| MEDINA|46|Female
ELAINE|SCHAEFER |200|Female
HUNTER| SURYAN|43|m
LILLIANA|FULENWIDER |51|f
 DORIS|MOORE|65|f
EFFIE |KEPLIN|19|M
michele| salters|33|-
alicia|predovich|47|Female
SARA|NORMAN|25|Female
jason|thomas|29|MF
mark| kemp|58|MF
warren |holloway|41|Male
deborah|hodge |72|m
MICHAEL |FRAZIER|51|LGBT
VIVIAN|HUCKABY |198|m
kimberly|rosa |12|F
 CLIFFORD|GRAHAM|59|LGBT
MARIE| MARKS|20|m
darrell| keltner|29|m
GREGORY |SHELTON|26|both
erma|campbell|24|-
 kathy|girgenti|164|F
MARIA |BRISCOE|69|m
VICTOR|WINKLER |43|both
HELEN| BURTTS|175|-
maricela |warney|16|F
susan|rogers|22|both
STEPHANIE |LISTON|95|both
victoria| lahman|11|Male
CALLIE|DICK|21|m
amber|williams |42|FM
AMELIA |ALLSCHEID|22|both
nathan|anderson |2|M
corey|kelly|190|Female
herbert| jurasek|55|LGBT
 SARA|WALLACE|53|F
jack|sharp|27|f
KIMBERLY|TAKEMURA |57|-
 SUSANNE|COTTONE|16|-
 RITA|SMITH|39|Female
jerome|burkhart|33|Female
 cathleen|alvarez|118|m
john| bolton|18|m
berry|zebell |30|F
TERESA |BRYAN|61|F
 JACQUELYN|SERANO|196|F
KEITH|BHATIA|158|-
katherine|robertson |1|both
lianne|jensen|99|Female
ROOSEVELT|SMITH |33|Female
 DEENA|ROGERSON|13|f
PAUL |BRYAND|27|MF
 michele|gonzales|121|Girl
 HERMAN|BEERS|64|m
LAURA |HRABAL|56|FM
SARAH| MCVEIGH|157|Male
DANTE |SCHLEY|51|both
 christy|hanks|34|F
christopher|unknow |66|both
harry |blue|23|F
THOMAS| VANCE|24|FM
santos |williams|31|-
branden|leatham |27|Female
 RANDY|MARLAR|54|Girl
kim| pratt|61|M
 debra|lindsey|53|f
FIDEL|WACHTER|20|-
angel|donati |61|Male
 HARRY|CARTER|70|MF
megan| hiser|81|LGBT
LITA| SANCHEZ|44|both
damon|doyle|53|LGBT
 CHRISTY|BANTA|30|-
 IVAN|WHITE|50|M
salvatore|carter |61|FM
corey|barton |140|-
JESSE|GRAY |26|m
jerry |rogers|23|-
BOB |ROBB|57|F
GARY|CASEY|123|-
 amy|jackson|42|F
ZACHARY|SPEAR |54|Male
john|savic|25|M
DONNA|FLORES|164|LGBT
ERIC|WHITE |47|f
SERGIO| ENGLISH|32|both
JUANITA |SMITH|70|M
mathew|cooper |117|F
JUSTIN |BARKER|57|-
 barbara|thomas|65|LGBT
lon| watson|61|F
 JEFFREY|COPHER|14|both
claude |lasky|166|M
 richard|holcomb|108|both
 DONNA|MAYBURY|52|LGBT
brenda|lamy |142|-
 dana|hodges|192|Male
donald |amos|20|LGBT
MARY |ROBERTS|59|Male
jose|obrien |31|Male
CHRIS|JEFFERSON|107|MF
 jo|nam|24|F
CHRIS| PELLOWSKI|157|both
steven|skinner |69|m
candida |perkins|13|FM
earl|kuznicki|43|f
KAREN|BEVINS |23|f
kelli|eusebio|47|Male
eugene|cannella |190|LGBT
LAURIE|THOMPSON |17|M
BOBBY |ANGELOVICH|26|Male
NATALIE| JOHNSON|20|Man
 JOHN|HELGESON|62|M
RENE |JOHNSON|36|Female
juanita|parra|9|m
ADELIA |FULKS|56|-
melissa|gibson |61|LGBT
clyde|ward |16|F
LLOYD |DOCTOR|47|Male
wilma |crist|21|f
sharon |hernandez|19|m
 edward|lehnen|49|f
georgina |davis|58|Man
JENELLE| GALLEGOS|55|F
kristin|jellerson|198|FM
AMY|MUSGROVE|18|LGBT
jim|hibert|66|Female
ROBERTO |WILSON|94|M
jerry|contreras|50|Girl
 jamie|jackson|51|M
joshua|roe|47|F
richard| mcmahon|12|F
SCOTT| RICCI|104|-
BILL |WHITE|39|m
EUGENE| DIXON|68|MF
patrick |jones|19|Girl
margret|olsen |95|-
MANUEL|WASHINGTON |8|-
DANIELLA|MOSES |64|F
JOHN|GOSS|67|FM
cynthia|borysewicz|139|f
 nancy|parker|64|both
natalie |palmer|55|f
ALICE| MORGAN|59|both
mary| hyre|48|-
fernando|blevins|45|f
warren|marugg |41|f
eileen|stanford |31|m
angeline|martin|63|Girl
CARRIE| ANDERSON|54|Male
mary|lee|30|Girl
cheryl|zampieri|30|-
CORA |MERKERSON|26|LGBT
 BRIAN|LEE|46|both
MICAH|KELLOGG |28|m
 dawn|smith|20|FM
jason| kendrick|34|Female
 MARION|BAILEY|51|-
THURMAN| LACOURSE|41|M
JOSEPH|HOEY |138|f
MARK |SCOTT|28|both
KATHY|SISTRUNK|23|F
ronald| lutwin|25|-
CORAZON|RABUN|28|M
greg| winters|19|LGBT
CYNTHIA |BUCHHOLZ|21|M
SHAWN|LUC|67|FM
lorraine|baxter|41|FM
 DOUG|METTS|42|f
JOHN|WILLIAMS|45|LGBT
 DANIEL|NEWMAN|59|M
richard|matto |32|F
ryan|darden |64|both
 james|marshall|61|M
MANUEL| BRISENO|68|F
MARY|BECK|66|-
alfred |fagg|11|Man
MARGARET|PICHARDO |41|F
MCKINLEY|TYSON |32|F
JOHN|PROSSER |66|both
 HAROLD|TRIAS|120|Man
BRADLY|CANO |50|Male
 ANITA|RICHARDS|41|-
suzanne |ciocca|81|m
danny| sweeney|134|MF
zachary |lahr|26|Girl
 VIRGINIA|COOPER|50|both
 JASMIN|VARGAS|69|M
 elaine|adkins|117|m
 josefina|lizarraga|42|F
 CARL|JACOBS|69|Man
paul |cherry|18|M
AMINA| HAMMONDS|39|m
harold| wooten|35|Man
 LORENE|FITZPATRICK|47|M
patrick|suber |18|Female
virginia |brown|66|Female
JEAN| THORNE|61|Male
EVAN| FLOYD|148|LGBT
 MARCO|JENSEN|70|f
james| budd|33|LGBT
 stacey|camarena|44|M
 WALTER|SLOUGH|24|-
nancy |salazar|55|Female
 billy|watson|48|F
MARTIN|FIELDS|151|-
 raymond|back|29|f
diana|martin |51|m
 RHODA|HOWARD|87|Girl
grace|turman |2|-
ANGEL|BROWN |52|F
natalie|durkee |13|M
TERESA |GRAHAM|36|both
alan| hashimoto|58|LGBT
walter|baker|41|Male
KEVIN| HALL|36|-
 gabriela|schlenker|64|LGBT
ROY| STANLEY|20|m
beth|mercer |158|m
ROGER|LEHR|59|Man
jeremy|salazar |62|F
olga|gomez |137|f
jessie |henline|42|Male
elsie| link|23|f
robert|vanleuven|165|Female
ANNA| BRANCH|44|m
 letha|chynoweth|89|-
juanita| valdez|141|Male
roger|gordon|15|-
CARL|HELTON|9|both
WALTER |DEMPSEY|70|both
CHRISTOPHER|PEREZ|165|-
 matthew|dame|62|F
donald|dyas |57|F
NAOMI |NORTON|32|-
john| arnold|65|both
joseph|murphy|65|MF
lona |taylor|131|LGBT
 debra|jones|58|both
BRAIN|GERMANN |36|m
RALPH| MILLS|13|-
SUSAN|BOSSLER |35|LGBT
LESLEY|BAKER |59|F
 rafael|borges|28|F
gina| guevara|56|FM
ANGELO| HARRIS|30|Male
jeremy|ortega|43|FM
MARY| MOBLEY|60|F
everett| buffum|58|M
LOYD|PLUMMER|40|-
susan|walk|67|Male
JAMES|FLYNN|60|M
sharon |tetterton|181|LGBT
ruth |summers|53|Female
 MARY|MURELLI|22|both
 CYNTHIA|BOWER|11|both
 ivette|lytch|86|Male
 RAYMOND|KAVANAUGH|52|-
allan| bridges|191|F
PHILLIP |TERRY|21|LGBT
HELEN |ORTEGA|6|Male
LOIS |PERRY|62|LGBT
 FLOYD|HORTON|29|Male
PABLO |DUELL|59|F
 EARNESTINE|WATSON|187|both
 KRIS|MOFFETT|42|LGBT
CLARA|COONEY|51|M
CARLOS |PALMIERI|55|-
 MARION|WILSON|119|both
MARCUS|BEACH |108|LGBT
lisa |sharp|32|Female
howard|zerger|47|FM
FELICIA|ASHLEY|67|FM
 james|michaels|6|MF
daniel|oliver|60|both
 MANUELA|PRICE|163|FM
 ROGER|COMPO|56|M
MILTON| BAXLEY|45|FM
deborah| jackson|166|-
DELLA|RIDLEY |22|both
BOBBY| DEROSE|4|MF
virginia |dennis|64|Female
gabriel|williams|28|m
BERNARD|STICKLES|9|both
JUAN|NETTLES |49|-
martha| glass|101|Female
jimmy |stone|63|Female
martin |torres|39|Girl
david |vassel|54|f
ARTURO|AKINS |53|Male
 phyllis|rich|15|-
SARAH |GUNTHER|42|MF
ROBERTA|JONES|8|Female
EMILY |SMITH|9|LGBT
RAYMOND |GUSMAN|36|M
SHAUNA|WILSHIRE |27|m
roland| fraser|195|both
edith|swain |32|MF
jessica| marshall|62|f
WILLIAM|BASHORE |65|LGBT
RUTH|DIORIO|29|M
eddie|vigue |59|m
LAWRENCE|DAVIS |29|both
BERT| BENNETT|133|-
ROBERT| MOHLER|72|LGBT
juan| jackson|41|Female
daniel| fleming|22|M
THOMAS|HARRIS |40|F
marty |firth|70|m
NANCY |NELSON|55|-
