First Name|Last Name|Age|Sex
 mary|maldonado|4|-
DAVID|PAUL |18|FM
hillary|porterfield |90|FM
BARBARA| HALL|90|LGBT
herbert|cody |169|m
joyce|clay|51|Female
fred|fox |47|both
sonja|smith|56|m
delia|curley |66|Male
WILLIAM| SELIGMAN|29|M
PATRICK|BOESIGER|12|f
mary|barker|69|M
TIFFANY |MARCHAND|26|-
eric|york|59|LGBT
EDWARD|MUNOS |167|Male
GRACE |FANTER|11|-
 robbie|boyd|48|m
LAURA|MARKS |50|f
JOEL| DIXION|162|LGBT
minnie|murphy |44|F
ramona |johnson|8|M
shirley| mccalla|42|both
robert |marti|22|LGBT
 THOMAS|WEISS|69|FM
 ELBA|RAMBO|72|m
 steven|johnson|5|F
 ASHLEY|RUIZ|53|both
GLORIA |ALVARADO|25|-
ROBERT |ARTMAN|23|LGBT
NANCY|SCHMIDT|174|LGBT
pauline|studdard|33|Male
joe| dougherty|66|LGBT
vivian|brock|35|f
BETHANY| FORD|33|both
LIBERTY|STONE|24|Male
daniel|woodard |27|m
 melvin|berg|47|MF
gilbert|pittman |58|F
edith |krantz|41|LGBT
 angel|drane|57|Male
CHRISTOPHER|DOWDY |83|f
dorothy |celadon|52|F
LUCY|EASTERLING|57|both
JACQUALINE|PEREZ|61|Female
 JOHN|LEE|22|Female
 SARAH|GREER|33|FM
DEBRA| TIPTON|40|LGBT
LOLA| JONES|69|Male
 lloyd|masella|51|M
sara|herrera|64|f
bobby |frazier|15|-
 KENNETH|MORRISON|65|Male
CARL| FORD|55|LGBT
JOHNNY|SNOW |31|Male
david |green|30|both
GERTRUDE|BLACK|172|both
so |williams|36|both
ALAN|GENTRY |23|Female
CLARISSA |PADILLA|5|LGBT
 roger|buker|64|both
LOUISE| HOWE|21|m
lora|brown |13|LGBT
 robert|moran|20|LGBT
PATRICIA|AVERY |58|Girl
SHIRLEY |SAUREL|32|Male
 danny|davis|58|LGBT
erin|summers|142|LGBT
geraldine |williams|3|Girl
LILLIE|COOMBS|56|Male
judith|brown |43|M
verna| morlan|45|-
dawn|putzier|138|F
ANNIE| MAYMON|26|Girl
kendra| efird|32|M
brad|barnes |26|f
leonard|whittaker|44|LGBT
lloyd| morones|32|-
 edward|norris|41|M
KEVIN |MCMAKIN|8|MF
NICK|SPANGLER |32|F
DOROTHY |VERNON|5|Girl
 charlene|goolsby|23|-
victoria|hughes |55|both
richard|storm|50|both
DENNIS|YANG |45|f
carrie|williams |21|-
domingo|whitaker |97|m
 RICKY|KEYSER|49|LGBT
ETHEL|JESSEE |68|m
LUISA |HERRON|53|m
DANNY|DESMARAIS |198|m
amelia |loehr|142|FM
daryl| guiterrez|25|Female
CHARLES|LAWRENCE|160|Girl
ROBERT| SISON|5|MF
margaret| wright|14|F
 tonya|oneal|56|-
KIM|MOORE|60|LGBT
 IRENE|MELTON|37|-
 mary|sprague|12|f
 LEE|KILLAM|49|F
ELLEN|SPEARS|28|m
emma|vessell |143|LGBT
MURIEL|UPRIGHT|37|Female
OLA| HANSEN|55|M
 DAVID|CALDERIN|40|Female
RODNEY|HUBBARD|50|m
janice| topper|44|f
jonathan| taylor|29|F
JEAN|DUNN |34|Girl
heather|atwell |40|m
 FRANKLIN|LANE|56|F
EVELYN|RODRIGUEZ|48|f
hugh|thomas |53|m
neil|felton|63|f
