First Name|Last Name|Age|Sex
JOSH |SAGON|69|M
donna|horn |50|-
teresa| turner|54|LGBT
 JESUS|ALLEN|31|MF
PATRICK |ESPARZA|68|-
MEGHAN| HALL|58|F
HENRY |MANGINO|44|MF
tasha| lodge|60|Female
NELDA| SULLIVAN|26|Male
JAY|DANIELS|179|Girl
robert| vines|52|Male
mary|whitehead |33|FM
HARRY |INTRIERI|29|F
RAYMOND|SMITH|21|f
MARVIN| FARLEY|17|LGBT
eleanor|franklin|42|m
kim|foley|179|m
stanton|cooper|189|M
FELICIA| MILLER|40|both
 CHARLOTTE|QUINTON|173|-
CHRISTOPHER|MILLER|25|FM
LORENZO|HEDRICK|63|MF
 ellen|rodgers|58|m
myrna|anderson|36|both
FRANK| NAVARRO|39|FM
patricia|alexander |59|f
ARTHUR|MCALLISTER|39|M
richard |roman|142|M
DOLORES|VOIGT |43|-
DENISE| PERRY|2|Female
frank|correll|65|-
heather|pangburn|154|Female
GEORGE |JACKSON|14|F
christopher| hagedorn|82|Male
PATRICK| JONES|81|LGBT
EDWARD|LEHMAN|62|F
 MICHAEL|WENTZ|64|M
tim|vigil |119|Female
EUGENE|JOHNSON |62|Girl
antoine |mcdermond|85|M
PETER| ALEJOS|16|M
 ROBERT|LEMOYNE|26|m
DOROTHY| MCKINNON|45|F
DONNIE|WEBB |33|F
DOLORES|SMITH |6|MF
GARRETT| ANDERSON|39|m
BOBBIE| HASSON|9|both
mike| clearwater|68|m
 walter|maasch|161|m
ESTHER|NESBY|44|F
ROBERT|SNYDER|86|m
CHAD| JOHANN|58|-
VERONICA|HODOSY|27|LGBT
RUBEN|CRUZ|67|M
 GINA|FARLEY|65|M
brittany|sefton |45|Female
 BRIAN|AARON|60|Female
 PATTY|YANKEE|9|both
CHARLES|MYERS|19|-
 DAN|MCMILLIAN|19|M
 ALBERT|CAYEA|30|f
THOMAS |MITCHELL|69|-
maria|darnell |25|both
 nydia|cogburn|28|both
ronald |gillespie|41|Male
JOANNE |LUNSFORD|26|LGBT
 SHANON|WOODS|6|F
 TONI|SCOTT|20|LGBT
BETTY |HANSFORD|61|both
