First Name|Last Name|Age|Sex
ana| fassett|60|LGBT
WILLIAM|CARONE |23|FM
 RYAN|FOSTER|8|FM
HELEN|ELFRINK|62|m
julieta| beauvais|41|-
kelly |lawson|47|both
kevin|honeycutt |3|Male
georgia| beam|37|F
steven| zeck|25|MF
 sarah|wilson|18|LGBT
 rita|navarrette|47|-
susan |clabaugh|51|MF
TAMMY| EPPLER|55|f
julia|isaman|19|FM
dennis|tejada|51|Girl
JOAN|TIMBERLAKE |72|both
 evelyn|mccreedy|64|M
SAMUEL |STENBERG|62|both
terri|chambers |57|f
CANDACE |TOURVILLE|49|-
eddie| hall|19|Girl
bill |smith|151|M
RANDY|BUTTER |69|LGBT
 ROBERT|MEDINA|33|F
CAROL| STEVENS|52|M
edna |saunders|37|m
gary|colangelo |2|Male
catherine|schachter |78|Female
jose|howard|72|f
LINDA |LUSK|42|Female
 RUTH|WATTS|52|m
evelyn |kelly|109|f
MARIA |WOODALL|55|LGBT
JOHN| BENNETT|63|FM
TRACEY| PRATT|23|-
richard|johnson|63|-
LOUIS|BALL|66|m
RYAN |CRUZ|142|LGBT
thelma |berry|163|m
ROSEMARY| HOLDER|62|both
IRENE|NICHOLSON|29|-
travis|lewis |33|m
dinah| cassidy|145|both
SHIRLEY|MILLER|30|LGBT
RAYMOND|GOLDMAN |38|M
LEN| HAILEY|23|MF
DAVID |JONES|43|Male
MARION|GONZALEZ|57|MF
 john|oconnor|5|FM
 TAMEKA|JABLONSKI|45|Man
ARTHUR| WILLSON|33|FM
KEVIN|SMITH |53|Male
MARY| LAFOREST|124|M
 IRA|MOORE|29|Man
DENVER|MILLS |42|f
JOSE|EARLEY |32|FM
 BRUCE|POLANCO|130|Male
 bradley|edmondson|49|M
 BRANDON|HALE|31|-
VICTORIA|GROSSMANN |175|m
PHILIP|BELL|55|F
LINDA |DIAZ|19|both
james|shafer |86|Female
josephine| almanza|49|Man
HELEN|MAHON |58|-
bonnie|dansby |18|f
maxine |combass|30|Female
LEROY|CRAWFORD|45|M
david|dickinson|62|Female
justin|howard |60|-
BARBARA|GROSSMAN |37|both
KEISHA|SWANSON |180|Male
 ROGER|AHRENHOLTZ|18|FM
howard |shouse|69|Man
 thomas|villar|35|LGBT
patricia |adams|56|-
 HARRY|STILES|66|FM
tommy |banks|17|M
 EVA|MENDEZ|37|Man
GENEVA|AMBROSE|18|both
WANDA|TANNER|29|m
JUAN|BARFOOT|34|LGBT
BRITTANY |REDWINE|32|MF
 RHETT|DEANDA|33|m
leo|oldham |118|Girl
MARK|RADER |189|F
FABIAN|BURNS|56|M
kenneth|gonzalea|10|LGBT
oscar|defenbaugh |43|-
albert |brannen|20|both
PEARL |VANGILDER|56|both
GERARD |ELDER|24|Male
linda|roberts |44|both
CLINT|PENNY |39|Male
 LINDA|COMBS|117|F
louise|northern |70|Man
AMY|WALLACE|158|Female
MARVIN|JARVIS |26|M
MARILYN|WILSON |58|M
catherine|barajas |4|F
MELBA|NORTON|42|LGBT
robert|warren|17|m
LARRY |BARRETT|41|f
 CHRISTOPHER|PARKER|58|M
bertha|mcintyre|58|F
JENNIFER|RUIZ|3|Man
 reginald|barnes|24|both
 gene|mcnurlen|37|-
glenn|yutzy|28|FM
 kyle|bundren|198|F
 richard|summers|186|LGBT
 COLLETTE|MARTUCCI|44|F
ASHLEY|MCBEE |12|m
 FRANK|LEE|25|FM
JANIS |RAUB|52|-
 michael|cunha|55|Man
quintin|anchondo|57|F
diane|wygant |138|Female
frances|karn|44|LGBT
alexander|walker|28|both
MICHAEL|REDMAN|67|f
 gary|linkous|36|f
anita |steger|46|Male
 patrick|huynh|89|Female
 joseph|polycarpe|59|Girl
STEPHANIE| GARZA|46|F
 john|ichikawa|37|Male
lois|salas|43|F
 donald|richardson|21|both
timothy|kelsey|180|Man
BRETT|BACHMANN|61|Male
DANIEL |KRISHUN|28|LGBT
CARL|SCHEXNAYDER |39|M
dorothy |coulson|68|M
 eric|wilson|2|f
CARL |REYES|40|M
 ROSEMARY|RUSSELL|63|LGBT
 TERRY|CROSBY|67|f
 madge|brown|47|FM
AARON|ARNOLD|125|m
JOSE| ADAMS|11|both
BRANDON|STALZER|21|Male
merlin|bowen|47|f
richard|perez|20|both
PAUL|ENDSLEY|68|LGBT
daniel|christman |38|m
kimberly |lopez|48|-
 michael|schultheis|65|f
marie|barnes|122|both
 peter|ortiz|44|m
CRAIG| SMITH|29|LGBT
 DAVID|ROBERTS|39|both
CASEY |BLAND|11|-
JUDY|WILLIAMS|68|F
amber| spink|35|F
LAURA|PRIDDY |13|-
 RACHAEL|RODRIGUEZ|70|F
ROBERT|SANDERFER|15|MF
THOMAS| YOUNT|53|F
JOEL |RENS|28|f
steven| newman|56|both
AGNES| CARTER|39|M
PATRICIA |SENTENO|39|Male
ernie|velasquez|43|F
YVONNE|BUSH|9|Girl
PATRICIA| CRAWFORD|65|both
ROGER |HETER|138|LGBT
BRAD|BANKS |64|LGBT
ROBERT |NELSON|53|both
TOBY| WALKER|64|-
MARTHA|HADEN|9|f
 mark|robinson|67|both
virginia| muney|197|Girl
EULA|EDMOND|49|both
TERRY|LEONARD |69|both
JAMES|DANIEL |24|both
STEPHANIE|BROWN |70|Female
 richard|conner|127|Male
LACY|ANKER|25|LGBT
paul|massey |40|Female
lorenzo| myers|156|f
vernon|yeary |40|m
chris| dougherty|65|-
christina| weekes|70|M
STANLEY|SAXTON |131|Female
MATTHEW|CONNELL|39|M
marsha |berger|57|f
lee|smith |38|FM
LORI|HADLEY |145|-
russell| stefanski|66|f
 troy|parrish|65|LGBT
CHRISTOPHER| HILEMAN|53|MF
ashley| keesee|41|Man
stephen|perry |38|-
 mary|ibarra|27|both
GAY|CONNOR |51|M
tamika|quesada|19|m
NATHAN|HAYES|37|F
ANDREA| LEBLANC|66|Male
david| maeda|143|M
terry|katz|33|m
 ann|milone|21|-
JOHN|NETTERVILLE |178|m
SCOTT|MCKINNON|23|both
 david|buckley|45|FM
CAROLE |VENTURA|108|Female
mario|parvin|8|FM
AMY| STOKES|18|f
donnie|davis |68|Male
ALICIA|ENCINAS|13|Female
RICHARD |GARCIA|120|Female
DOLLIE| JOBE|9|FM
robert| bernard|36|-
VINCENT| MONARREZ|151|LGBT
NANCY| HANSEN|41|MF
JERRY|RIVERA|1|both
DARRIN|DRAKE|165|f
curt|taylor|115|FM
SARA |CUEVAS|140|both
SUSAN| TUTTLE|51|Male
ANTHONY |FORDYCE|50|m
annie| martin|109|Girl
ernest|vrbka |39|Male
debra| booker|43|f
INDIA|SMITH|57|m
matthew|gilbertson|197|-
 edward|osterman|16|FM
ray|filion|151|both
stanley|lacey|23|FM
daniel |boyd|64|F
HUGH|BURGESS|11|LGBT
MISTY|CABRERA |165|f
george |anderson|35|m
 LEAH|TURNER|199|F
DANNY|HOLLOWAY |66|F
virginia| emmert|67|-
charlotte |noack|48|LGBT
CLIFFORD |MACK|49|both
eddy|leischner|66|m
KRISTIE|BESSICK |45|LGBT
carrie|troutt|26|F
NATASHA| SURIEL|29|Female
 david|mcknight|45|M
jeffrey|rodriguez|65|MF
MICHAEL| NOLAN|58|Female
 dan|copeland|21|m
 TIMOTHY|POTTS|19|MF
 DOUGLAS|BARNES|135|LGBT
 brandi|anderson|10|-
harry |bock|1|F
MARY |CARTER|36|Female
john|shaffer|26|Female
philip|faupel|11|f
janice|griffin |25|M
matt|ewald|7|f
 shelly|fitzgerald|189|Female
 SANDRA|DOWELL|62|m
ernest| smith|15|LGBT
 MILDRED|KLAUS|25|F
JONATHON|ARTHURS |65|F
mary|lee |192|LGBT
gwendolyn |casey|57|-
james| desai|61|f
thomas|valerio |166|F
steven |porter|149|F
ANTHONY| CUNNINGHAM|50|FM
CRYSTAL |BRINKMAN|142|f
roy| judge|25|Female
 maria|wagner|20|F
 tara|stevens|22|MF
 anita|farris|45|MF
van |provost|16|M
rachael| gilbertson|45|F
barry| evans|65|M
michelle|tillman |32|Female
 VICKY|CAPEL|40|f
mary|royer |37|f
MICHELLE|CAMPBELL |21|m
 george|lovin|59|f
 mary|allen|37|Male
 cynthia|gaines|70|Male
 AMELIA|BRILL|62|-
WILLIAM |ANDRADE|63|both
marc|hanson |129|LGBT
LONNIE|SCHEETZ |76|f
james |walker|68|m
JAMES |MARTIN|6|F
 julie|reine|25|F
 enrique|kirby|22|Male
THOMAS|CARPENTER|29|both
THELMA|SOHRE |35|F
 FLORENCE|BYARS|66|-
betty |mann|38|f
ROY|JONES|55|LGBT
ROBERT|BIRD |50|both
LINDA|GEIST|15|FM
